"VariableName","Value","ValueLabel"
"State abbreviation (HD2022)","MD","Maryland"
"FIPS state code (HD2022)","24","Maryland"
"Institutional category (HD2022)","2","Degree-granting, primarily baccalaureate or above"
"Institution size category (HD2022)","5","20,000 and above"
"State abbreviation (HD2021)","MD","Maryland"
"FIPS state code (HD2021)","24","Maryland"
"Institutional category (HD2021)","2","Degree-granting, primarily baccalaureate or above"
"Institution size category (HD2021)","5","20,000 and above"
"State abbreviation (HD2020)","MD","Maryland"
"FIPS state code (HD2020)","24","Maryland"
"Institutional category (HD2020)","2","Degree-granting, primarily baccalaureate or above"
"Institution size category (HD2020)","5","20,000 and above"
"State abbreviation (HD2019)","MD","Maryland"
"FIPS state code (HD2019)","24","Maryland"
"Institutional category (HD2019)","2","Degree-granting, primarily baccalaureate or above"
"Institution size category (HD2019)","5","20,000 and above"
"State abbreviation (HD2018)","MD","Maryland"
"FIPS state code (HD2018)","24","Maryland"
"Institutional category (HD2018)","2","Degree-granting, primarily baccalaureate or above"
"Institution size category (HD2018)","5","20,000 and above"
"State abbreviation (HD2017)","MD","Maryland"
"FIPS state code (HD2017)","24","Maryland"
"Institutional category (HD2017)","2","Degree-granting, primarily baccalaureate or above"
"Institution size category (HD2017)","5","20,000 and above"
"State abbreviation (HD2016)","MD","Maryland"
"FIPS state code (HD2016)","24","Maryland"
"Institutional category (HD2016)","2","Degree-granting, primarily baccalaureate or above"
"Institution size category (HD2016)","5","20,000 and above"
"State abbreviation (HD2015)","MD","Maryland"
"FIPS state code (HD2015)","24","Maryland"
"Institutional category (HD2015)","2","Degree-granting, primarily baccalaureate or above"
"Institution size category (HD2015)","5","20,000 and above"
"State abbreviation (HD2014)","MD","Maryland"
"FIPS state code (HD2014)","24","Maryland"
"Institutional category (HD2014)","2","Degree-granting, primarily baccalaureate or above"
"Institution size category (HD2014)","5","20,000 and above"
"State abbreviation (HD2013)","MD","Maryland"
"FIPS state code (HD2013)","24","Maryland"
"Institutional category (HD2013)","2","Degree-granting, primarily baccalaureate or above"
"Institution size category (HD2013)","5","20,000 and above"
"State abbreviation (HD2012)","MD","Maryland"
"FIPS state code (HD2012)","24","Maryland"
"Institutional category (HD2012)","2","Degree-granting, primarily baccalaureate or above"
"Institution size category (HD2012)","5","20,000 and above"
