Permit Category,County Agency,Permit Case ID,Permit Case Year,Permit Type,Case Name,Street Address,City,Zip Code,Permit Issuance Date,Expected Construction Cost,Location
Building Permit,DPIE,2997696,2015,DPIE RGUW,ERNEST ADDITION,5017 ODESSA,COLLEGE PARK,20740,January 02 2019,"6,000","5017 ODESSA COLLEGE PARK,MD 20740"
Building Permit,DPIE,2991923,2018,RW,RIBULOTTA INTERIOR & ROOF,6012 QUEBEC,COLLEGE PARK,20740,January 02 2019,20,"6012 QUEBEC COLLEGE PARK,MD 20740"
Building Permit,DPIE,2997583,2019,DPIE ER,STATHOPOULOS,8919 58TH,COLLEGE PARK,20740,January 02 2019,0,"8919 58TH COLLEGE PARK,MD 20740"
Building Permit,DPIE,2997634,2018,DPIE ER,2995490 j&m electric,7317 BAYLOR,COLLEGE PARK,20740,January 02 2019,0,"7317 BAYLOR COLLEGE PARK,MD 20740"
Building Permit,DPIE,2997861,2019,DPIE ER,2997861 Mister Electrc,5114 LACKAWANNA,COLLEGE PARK,20740,January 03 2019,0,"5114 LACKAWANNA COLLEGE PARK,MD 20740"
Building Permit,DPIE,2998337,2017,RUW,BAPTISTE INT REMOD,5902 NATASHA,COLLEGE PARK,20740,January 07 2019,"65,000","5902 NATASHA COLLEGE PARK,MD 20740"
Building Permit,DPIE,2998426,2018,DPIE EC,"2979258 Fire Protective Systems, Inc.",8321 BALTIMORE,COLLEGE PARK,20740,January 07 2019,0,"8321 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2998670,2019,DPIE ER,2998670 Wilcox Electric,5015 FOX,COLLEGE PARK,20740,January 08 2019,0,"5015 FOX COLLEGE PARK,MD 20740"
Building Permit,DPIE,2998579,2018,DPIE EC,"2968990 ARK Sign Services, Inc.",4200 HARTWICK,COLLEGE PARK,20740,January 08 2019,0,"4200 HARTWICK COLLEGE PARK,MD 20740"
Building Permit,DPIE,2998918,2018,DPIE ER,2987586 Seals Electric,4908 INDIAN,COLLEGE PARK,20740,January 09 2019,0,"4908 INDIAN COLLEGE PARK,MD 20740"
Building Permit,DPIE,2993113,2018,CU,POKI DISTRICT FITOUT,4209 KNOX,COLLEGE PARK,20740,January 09 2019,"5,000","4209 KNOX COLLEGE PARK,MD 20740"
Health Permit,DPIE,2998785,2017,PUBLIC SWIMMING POOL/SPA -> INDOOR POOL/SPA,THE HOTEL AT UNIVERSITY OF MARYLAND,7777 BALTIMORE,COLLEGE PARK,20742,January 09 2019,0,"7777 BALTIMORE COLLEGE PARK,MD 20742"
Building Permit,DPIE,2999114,2019,DPIE ER,"2999114 Beltway Electrical Service, Inc.",9216 DAVIDSON,COLLEGE PARK,20740,January 10 2019,0,"9216 DAVIDSON COLLEGE PARK,MD 20740"
Building Permit,DPIE,2996849,2018,S,LIDL WALL SIGN,8601 BALTIMORE,COLLEGE PARK,20740,January 10 2019,"2,000","8601 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2996850,2018,S,LIDL WALL SIGN,8601 BALTIMORE,COLLEGE PARK,20740,January 10 2019,"2,000","8601 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999227,2019,DPIE EC,2999227 han chung electric,8145 BALTIMORE,COLLEGE PARK,20740,January 10 2019,0,"8145 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999388,2019,DPIE EC,2999388 Sustainable Energy Systems,8802 58TH,COLLEGE PARK,20740,January 11 2019,0,"8802 58TH COLLEGE PARK,MD 20740"
Building Permit,DPIE,2995590,2018,R,ESPINOZA SOLAR PANELS,8802 58TH,COLLEGE PARK,20740,January 11 2019,"33,600","8802 58TH COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999275,2019,DPIE EC,2999275 Campbell & Son Electric,8601 BALTIMORE,COLLEGE PARK,20740,January 11 2019,0,"8601 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999328,2019,DPIE EC,"2999328 ATS Electrical Contracting, Inc.",4209 KNOX,COLLEGE PARK,20740,January 11 2019,0,"4209 KNOX COLLEGE PARK,MD 20740"
Health Permit,DPIE,2999390,2019,PUBLIC SWIMMING POOL/SPA -> INDOOR POOL/SPA,HOLIDAY INN-COLLEGE PARK,10000 BALTIMORE,COLLEGE PARK,20740,January 11 2019,0,"10000 BALTIMORE COLLEGE PARK,MD 20740"
Health Permit,DPIE,2999391,2019,PUBLIC SWIMMING POOL/SPA -> INDOOR POOL/SPA,HOLIDAY INN-COLLEGE PARK,10000 BALTIMORE,COLLEGE PARK,20740,January 11 2019,0,"10000 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2999417,2019,DPIE Online MECC,2999417,6118 RUATAN,COLLEGE PARK,20740,January 12 2019,"4,200","6118 RUATAN COLLEGE PARK,MD 20740"
Building Permit,DPIE,2998104,2019,DPIE EC,2998104 AA Electric Company Incorporated,10211 BALTIMORE,COLLEGE PARK,20740,January 14 2019,0,"10211 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2991178,2018,FIRW,TERRAPIN MAIN STREET FIRE SUPPRESSION,7313 BALTIMORE,COLLEGE PARK,20740,January 15 2019,"3,000","7313 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,2992395,2018,CEW,Tele-T-mobile,8400 BALLEW,COLLEGE PARK,20740,January 15 2019,0,"8400 BALLEW COLLEGE PARK,MD 20740"
Health Permit,DPIE,2998308,2019,WELL -> MONITORING,ROADSIDE DEVELOPMENT LLC,10050 BALTIMORE,COLLEGE PARK,20740,January 16 2019,0,"10050 BALTIMORE COLLEGE PARK,MD 20740"
Health Permit,DPIE,2998303,2019,WELL -> MONITORING,ROADSIDE DEVELOPMENT LLC,10050 BALTIMORE,COLLEGE PARK,20740,January 16 2019,0,"10050 BALTIMORE COLLEGE PARK,MD 20740"
Site Road Permit,DPIE,2999871,2019,RESIDENTIAL DRIVEWAY PERMIT,COLLEGE PARK ESTATES,5917 BRYN MAWR,COLLEGE PARK,20740,January 16 2019,0,"5917 BRYN MAWR COLLEGE PARK,MD 20740"
Building Permit,DPIE,2997247,2018,DPIE UOW,A and A USE,9401 BALTIMORE,COLLEGE PARK,20740,January 17 2019,0,"9401 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000145,2018,CEW,Tele - AT&T Mobility,3515 CAMPUS,COLLEGE PARK,20740,January 17 2019,"20,000","3515 CAMPUS COLLEGE PARK,MD 20740"
Building Permit,DPIE,2998576,2019,FIRW,LIDL FIRE,8601 BALTIMORE,COLLEGE PARK,20740,January 17 2019,"2,000","8601 BALTIMORE COLLEGE PARK,MD 20740"
Building Permit,DPIE,3000438,2019,DPIE EC,3000438 Anton Touss Enterpises,7313 BALTIMORE,COLLEGE PARK,20740,January 18 2019,0,"7313 BALTIMORE COLLEGE PARK,MD 20740"
