committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,committee_name,entity_type,entity_type_desc,unused_contbr_id,contributor_prefix,contributor_name,recipient_committee_type,recipient_committee_org_type,recipient_committee_designation,contributor_first_name,contributor_middle_name,contributor_last_name,contributor_suffix,contributor_street_1,contributor_street_2,contributor_city,contributor_state,contributor_zip,contributor_employer,contributor_occupation,contributor_id,receipt_type,receipt_type_desc,receipt_type_full,memo_code,memo_code_full,contribution_receipt_date,contribution_receipt_amount,contributor_aggregate_ytd,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_office_full,candidate_office_state,candidate_office_state_full,candidate_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,donor_committee_name,national_committee_nonfederal_account,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_name,filing_form,link_id,is_individual,memo_text,two_year_transaction_period,schedule_type,increased_limit,sub_id,pdf_url,line_number_label
C00506832,MARC VEASEY CONGRESSIONAL CAMPAIGN COMMITTEE,2022,Q1,202211289547060387,11C,5659395,1662667,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,PO BOX 37154,,BALTIMORE,MD,212973154,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2022-03-11 00:00:00,2500.00,3500.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,G2022,,GENERAL,2022,N,NO CHANGE,ITEMIZED RECEIPTS,2022-12-11 03:36:15,,,,F3,4112820221631094008,f,,2022,SA,,4121020221633995449,https://docquery.fec.gov/cgi-bin/fecimg/?202211289547060387,Contributions From Other Political Committees
C00258475,ANNA ESHOO FOR CONGRESS,2022,Q3,202308219596758288,11C,IA25993,1723259,,COM,OTHER COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 SOUTH EADS STREET,,ARLINGTON,VA,22202,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2022-08-22 00:00:00,2500.00,2500.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,G2022,,GENERAL,2022,N,NO CHANGE,ITEMIZED RECEIPTS,2023-08-24 04:06:10,,,,F3,4082120231799865003,f,,2022,SA,,4082320231800253213,https://docquery.fec.gov/cgi-bin/fecimg/?202308219596758288,Contributions From Other Political Committees
C00459099,DELBENE FOR CONGRESS,2021,Q1,202104149443338759,11C,VVBTWSM8J10,1510613,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,,,,,,2021-03-22 00:00:00,1000.00,1000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED RECEIPTS,2021-04-17 04:17:10.545,,,,F3,4041520211277180225,f,,2022,SA,,4041720211277945669,https://docquery.fec.gov/cgi-bin/fecimg/?202104149443338759,Contributions From Other Political Committees
C00502294,SWALWELL FOR CONGRESS,2021,Q1,202104159443389639,11C,2688357,1511179,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2021-03-22 00:00:00,1500.00,1500.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED RECEIPTS,2021-04-20 04:07:50.418,,,,F3,4041620211277753276,f,,2022,SA,,4042020211278461058,https://docquery.fec.gov/cgi-bin/fecimg/?202104159443389639,Contributions From Other Political Committees
C00258475,ANNA ESHOO FOR CONGRESS,2021,Q1,202104159443612226,11C,INCA24692,1512204,,COM,OTHER COMMITTEE,C00328369,,TECHNOLOGY NETWORK (TECHNET) FEDERAL PAC,H,,P,,,,,400 CAPITOL MALL,SUITE 1545,SACRAMENTO,CA,95814,,,C00328369,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2021-02-16 00:00:00,1000.00,1000.00,,,,,,,,,,,,,,,,,,,,TECHNOLOGY NETWORK (TECHNET) FEDERAL PAC,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED RECEIPTS,2021-04-29 04:24:02.705,,,,F3,4041620211277753880,f,,2022,SA,,4042820211279382608,https://docquery.fec.gov/cgi-bin/fecimg/?202104159443612226,Contributions From Other Political Committees
C00226522,RICHARD E NEAL FOR CONGRESS COMMITTEE,2022,Q2,202207219525013503,11C,VVC0PT21BF6,1618600,,PAC,POLITICAL ACTION COMMITTEE,C00328369,,TECHNOLOGY NETWORK (TECHNET),H,,P,,,,,"1600 EAST BAYSHORE ROAD, 1ST FLOOR",,EAST PALO ALTO,CA,94303,,,C00328369,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2022-06-27 00:00:00,1000.00,1000.00,,,,,,,,,,,,,,,,,,,,TECHNOLOGY NETWORK (TECHNET),,P2022,,PRIMARY,2022,N,NO CHANGE,ITEMIZED RECEIPTS,2022-08-07 03:33:19.354,,,,F3,4072120221542765021,f,CAMPAIGN CONTRIBUTION,2022,SA,,4080620221563365793,https://docquery.fec.gov/cgi-bin/fecimg/?202207219525013503,Contributions From Other Political Committees
C00075820,NRCC,2021,M5,202108069465865612,11C,SA11C.22103975,1533941,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,Y,,U,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,18K,CONTRIBUTION RECEIVED FROM REGISTERED FILER,CONTRIBUTION,,,2021-04-15 00:00:00,15000.00,15000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P,,PRIMARY,,A,ADD,ITEMIZED RECEIPTS,2021-08-11 05:01:25.322,,,,F3X,4080720211324954035,f,,2022,SA,,4081120211325751955,https://docquery.fec.gov/cgi-bin/fecimg/?202108069465865612,Contributions From Other Political Committees
C00027466,NRSC,2021,M5,202105209447021063,11C,SA11C.19375298,1517301,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,Y,,U,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,18K,CONTRIBUTION RECEIVED FROM REGISTERED FILER,CONTRIBUTION,,,2021-04-14 00:00:00,15000.00,15000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P,,PRIMARY,,A,ADD,ITEMIZED RECEIPTS,2021-05-27 05:11:45.05,,,,F3X,4052120211296776214,f,,2022,SA,,4052720211297470172,https://docquery.fec.gov/cgi-bin/fecimg/?202105209447021063,Contributions From Other Political Committees
C00558213,DEBBIE DINGELL FOR CONGRESS,2021,Q1,202104159443392846,11C,VNJ6RQ7DG43,1511234,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2021-03-08 00:00:00,1500.00,1500.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED RECEIPTS,2021-05-01 03:51:11.206,,,,F3,4041620211277753301,f,,2022,SA,,4050120211285055941,https://docquery.fec.gov/cgi-bin/fecimg/?202104159443392846,Contributions From Other Political Committees
C00438697,LATTA FOR CONGRESS,2021,Q2,202107159451399617,11C,A37ACAEB7A9C94BBBAB5,1526958,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2021-04-14 00:00:00,5000.00,5000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED RECEIPTS,2021-08-11 05:02:25.32,,,,F3,4071620211320721669,f,,2022,SA,,4081120211325914369,https://docquery.fec.gov/cgi-bin/fecimg/?202107159451399617,Contributions From Other Political Committees
C00616268,MORAN VICTORY COMMITTEE,2021,Q2,202107159451098686,11C,AE3495CF7CF7646B29FC,1526003,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,N,,J,,,,,1919 S. EADS ST,,ARLINGTON,VA,222023028,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2021-04-14 00:00:00,5000.00,20000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2021,MVC,PRIMARY,2021,A,ADD,ITEMIZED RECEIPTS,2021-07-21 04:57:50.035,,,,F3,4071620211320721142,f,,2022,SA,,4072120211321246433,https://docquery.fec.gov/cgi-bin/fecimg/?202107159451098686,Contributions From Other Political Committees
C00436022,MODERATE DEMOCRATS PAC,2021,M7,202107209451802058,11C,VPFEQSZ9A04,1529184,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,Q,,B,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,18K,CONTRIBUTION RECEIVED FROM REGISTERED FILER,,,,2021-06-24 00:00:00,5000.00,5000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P,,PRIMARY,,A,ADD,ITEMIZED RECEIPTS,2021-07-23 06:52:20.138,,,,F3X,4072120211321224347,f,,2022,SA,,4072320211322412018,https://docquery.fec.gov/cgi-bin/fecimg/?202107209451802058,Contributions From Other Political Committees
C00625988,FUTURE FORUM PAC,2021,MY,202107279451997864,11C,18188013,1530748,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,Q,,U,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,18K,CONTRIBUTION RECEIVED FROM REGISTERED FILER,,,,2021-03-08 00:00:00,5000.00,5000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P,,PRIMARY,,A,ADD,ITEMIZED RECEIPTS,2021-07-29 05:00:31.209,,,,F3X,4072820211322963098,f,,2022,SA,,4072920211323079927,https://docquery.fec.gov/cgi-bin/fecimg/?202107279451997864,Contributions From Other Political Committees
C00696591,ACROSS THE AISLE PAC,2021,MY,202107289452148527,11C,SA11C.4775,1531450,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,Q,,U,,,,,1919 SOUTH EADS STREET,,ARLINGTON,VA,22202,,,C00375048,18K,CONTRIBUTION RECEIVED FROM REGISTERED FILER,,,,2021-02-28 00:00:00,5000.00,5000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P,,PRIMARY,,A,ADD,ITEMIZED RECEIPTS,2021-07-30 04:59:45.802,,,,F3X,4073020211323339018,f,,2022,SA,,4073020211323374441,https://docquery.fec.gov/cgi-bin/fecimg/?202107289452148527,Contributions From Other Political Committees
C00409219,MATSUI FOR CONGRESS,2021,Q2,202107159451301830,11C,C10513026,1526263,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 SOUTH EADS STREET,,ARLINGTON,VA,22202,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2021-04-14 00:00:00,1000.00,1000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P2022,,PRIMARY,2022,A,ADD,ITEMIZED RECEIPTS,2021-07-30 05:01:21.605,,,,F3,4071620211320721279,f,,2022,SA,,4073020211323427108,https://docquery.fec.gov/cgi-bin/fecimg/?202107159451301830,Contributions From Other Political Committees
C00346312,FRIENDS OF SCHUMER,2021,Q2,202107159451622474,11C,VTE5W11K1E30,1527680,,PAC,POLITICAL ACTION COMMITTEE,C00328369,,TECHNOLOGY NETWORK (TECHNET) FEDERAL PAC,S,,P,,,,,400 CAPITOL MALL,STE 1545,SACRAMENTO,CA,958144434,,,C00328369,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2021-06-24 00:00:00,2500.00,5000.00,,,,,,,,,,,,,,,,,,,,TECHNOLOGY NETWORK (TECHNET) FEDERAL PAC,,G2022,,GENERAL,2022,A,ADD,ITEMIZED RECEIPTS,2021-07-30 05:02:08.534,,,,F3,4071720211320863034,f,,2022,SA,,4073020211323467600,https://docquery.fec.gov/cgi-bin/fecimg/?202107159451622474,Contributions From Other Political Committees
C00703843,BICE FOR CONGRESS,2022,Q3,202210149532403162,11C,AA3FAE580221248A692A,1639683,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 S EADS ST,,ARLINGTON,VA,222023028,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2022-09-29 00:00:00,2500.00,2500.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,G2022,,GENERAL,2022,A,ADD,ITEMIZED RECEIPTS,2022-11-07 10:14:36,,,,F3,4101420221588146464,f,,2022,SA,,4110620221605809551,https://docquery.fec.gov/cgi-bin/fecimg/?202210149532403162,Contributions From Other Political Committees
C00305318,BLUE DOG POLITICAL ACTION COMMITTEE,2021,MY,202107279451998029,11C,C10511071,1530755,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,Q,,U,,,,,1919 SOUTH EADS STREET,,ARLINGTON,VA,22202,,,C00375048,18K,CONTRIBUTION RECEIVED FROM REGISTERED FILER,,,,2021-03-08 00:00:00,5000.00,5000.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,P,,PRIMARY,,A,ADD,ITEMIZED RECEIPTS,2021-07-29 05:00:25.971,,,,F3X,4072820211322963103,f,,2022,SA,,4072920211323079560,https://docquery.fec.gov/cgi-bin/fecimg/?202107279451998029,Contributions From Other Political Committees
C00657833,GUY FOR CONGRESS,2022,Q3,202210149532322588,11C,AA6D55E170D1F4CABB07,1638848,,PAC,POLITICAL ACTION COMMITTEE,C00375048,,CONSUMER TECHNOLOGY ASSOCIATION PAC,H,,P,,,,,1919 SOUTH EADS STREET,,ARLINGTON,VA,22202,,,C00375048,15K,CONTRIBUTION RECEIVED FROM REGISTERED FILER (CANDIDATES),,,,2022-09-29 00:00:00,1500.00,1500.00,,,,,,,,,,,,,,,,,,,,CONSUMER TECHNOLOGY ASSOCIATION PAC,,G2022,,GENERAL,2022,A,ADD,ITEMIZED RECEIPTS,2022-11-07 10:14:36,,,,F3,4101420221588146211,f,,2022,SA,,4110620221605821784,https://docquery.fec.gov/cgi-bin/fecimg/?202210149532322588,Contributions From Other Political Committees
