doc_id,cleaned_filer_names,member_name,traveler_is_likely_member,state,district,party,year,filing_type,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,dom_or_int,notes
500006933,Joseph Sheehy,"Napolitano, Grace",FALSE,CA,31,D,2012,Original,2012-01-10,2012-01-12,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006937,Angela T. Rye,"Cleaver, Emanuel",FALSE,MO,5,D,2012,Original,2012-01-09,2012-01-12,4,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006938,Joseph Wender,"Markey, Edward J.",FALSE,MA,5,D,2012,Original,2012-01-10,2012-01-12,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006939,Bobby Cornett,"Franks, Trent",FALSE,AZ,8,R,2012,Original,2012-01-09,2012-01-11,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006942,Virgil A. Miller,"Richmond, Cedric L.",FALSE,LA,2,D,2012,Original,2012-01-10,2012-01-13,4,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006945,Isaac Lanier Avant,"Thompson, Bennie",FALSE,MS,2,D,2012,Original,2012-01-11,2012-01-13,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006946,Benjamin Staub,"Conyers, John",FALSE,MI,13,D,2012,Original,2012-01-09,2012-01-11,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006947,Megan Spindel Jackson,"Guthrie, Brett",FALSE,KY,2,R,2012,Original,2012-01-10,2012-01-12,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006949,Austin Weatherford,"Kinzinger, Adam",FALSE,IL,16,R,2012,Original,2012-01-09,2012-01-11,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006950,Brooke Ericson,"Stearns, Cliff",FALSE,FL,6,R,2012,Original,2012-01-10,2012-01-12,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006951,Joshua Baggett,"Kinzinger, Adam",FALSE,IL,16,R,2012,Original,2012-01-10,2012-01-12,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006952,"Evan H. Bergwall, III","Stearns, Cliff",FALSE,FL,6,R,2012,Original,2012-01-10,2012-01-12,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006955,Michael Beckerman,"Upton, Fred",FALSE,MI,6,R,2012,Original,2012-01-11,2012-01-13,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006956,Jason Everett,"Conyers, John",FALSE,MI,13,D,2012,Original,2012-01-09,2012-01-11,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006958,Philip S. Barnett,"Waxman, Henry A.",FALSE,CA,33,D,2012,Original,2012-01-10,2012-01-12,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006961,Jacob Oster,"Welch, Peter",FALSE,VT,0,D,2012,Original,2012-01-11,2012-01-13,3,Alliance To Save Energy,"Denver, CO",domestic,NA
500006962,Jocelyn M. Griffin,"Johnson, Henry",FALSE,GA,4,D,2012,Original,2012-01-10,2012-01-12,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006964,Joel David Grossman,"Eshoo, Anna",FALSE,CA,16,D,2012,Original,2012-01-10,2012-01-12,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006965,Norberto Salinas,"Conyers, John",FALSE,MI,13,D,2012,Original,2012-01-07,2012-01-11,5,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006966,Lee Terry,"Terry, Lee",TRUE,NE,2,R,2012,Original,2012-01-10,2012-01-12,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500006968,Tiffany McGuffee,"Roe, David P.",FALSE,TN,1,R,2012,Original,2012-01-18,2012-01-20,3,Aspen Institute,"Nashville, TN",domestic,NA
