doc_id,cleaned_filer_names,member_name,traveler_is_likely_member,state,district,party,year,filing_type,departure_date,return_date,trip_length,sponsors_cleaned,combined_dests,dom_or_int,notes
500025753,Sierra Kelley-Chung,"Horsford, Steven",FALSE,NV,4,D,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025755,Chloe Hunt,"Casten, Sean",FALSE,IL,6,D,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025756,Elizabeth Fallon,"Emmer, Tom",FALSE,MN,6,R,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025757,Michael Cameron,"Rodgers, Cathy",FALSE,WA,5,R,2023,Original,2023-01-04,2023-01-06,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025758,Shana Teehan,"Moore, Barry",FALSE,AL,2,R,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025759,Christina McCauley,"Matsui, Doris",FALSE,CA,7,D,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025760,Jeremy Marcus,"Matsui, Doris",FALSE,CA,7,D,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025761,Milla Anderson,"Kuster, Ann",FALSE,NH,2,D,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025762,Alex Bolton,"Malliotakis, Nicole",FALSE,NY,11,R,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025763,Brannon Rains,"Rodgers, Cathy",FALSE,WA,5,R,2023,Original,2023-01-04,2023-01-06,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025764,Christopher Hixon,"Jordan, Jim",FALSE,OH,4,R,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025765,Daniel Dziadon,"Lucas, Frank",FALSE,OK,3,R,2023,Original,2023-01-05,2023-01-08,4,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025768,Evan Viau,"Rodgers, Cathy",FALSE,WA,5,R,2023,Original,2023-01-05,2023-01-08,4,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025771,Aaron Groce,"Casten, Sean",FALSE,IL,6,D,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025772,David Bean,"Bucshon, Larry",FALSE,IN,8,R,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025773,David Straka,"Turner, Michael",FALSE,OH,10,R,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025774,Deena Tauster,"Garbarino, Andrew",FALSE,NY,2,R,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025775,Emily Hebein,"Latta, Robert",FALSE,OH,5,R,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025776,James Johnson,"Pallone, Frank",FALSE,NJ,6,D,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025777,Jay Gulshen,"Smith, Jason",FALSE,MO,8,R,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025778,Kyle Jackson,"Bucshon, Larry",FALSE,IN,8,R,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025779,Lewis Myers,"Cardenas, Tony",FALSE,CA,29,D,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025780,Lucy Shaw,"Raskin, Jamie",FALSE,MD,8,D,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025781,Maeve Healy,"Meng, Grace",FALSE,NY,6,D,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025782,Megan Kanne,"Schakowsky, Janice",FALSE,IL,9,D,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025783,Nisha Thanawala,"Clarke, Yvette",FALSE,NY,9,D,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025784,Sean Dillon,"Huizenga, Bill",FALSE,MI,4,R,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025785,Steven Blattner,"Clarke, Yvette",FALSE,NY,9,D,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025786,Tom Van Flein,"Gosar, Paul",FALSE,AZ,9,R,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025787,Yardena Wolf,"Swalwell, Eric",FALSE,CA,14,D,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025788,Anna Lenhart,"Trahan, Lori",FALSE,MA,3,D,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025790,Chad Obermiller,"Bera, Ami",FALSE,CA,6,D,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025791,Waverly Gordon,"Pallone, Frank",FALSE,NJ,6,D,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025794,Brian Kaissi,"Krishnamoorthi, Raja",FALSE,IL,8,D,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025795,Chellie Pingree,"Pingree, Chellie",TRUE,ME,1,D,2023,Original,2023-01-12,2023-01-17,6,Association of Marshall Scholars,United Kingdom,international,NA
500025796,Dharamjeet Singh,"Meeks, Gregory",FALSE,NY,5,D,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025798,Flynn Rico-Johnson,"Matsui, Doris",FALSE,CA,7,D,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025799,Hope Goins,"Thompson, Bennie",FALSE,MS,2,D,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025800,James Tyler Grimm,"Jordan, Jim",FALSE,OH,4,R,2023,Original,2023-01-05,2023-01-07,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
500025801,John Cooper,"Matsui, Doris",FALSE,CA,7,D,2023,Original,2023-01-06,2023-01-08,3,Consumer Technology Association,"Las Vegas, NV",domestic,NA
