Date Created,Year,Estimate,MARYLAND,Allegany County,Anne Arundel County,Baltimore City,Baltimore County,Calvert County,Caroline County,Carroll County,Cecil County,Charles County,Dorchester County,Frederick County,Garrett County,Harford County,Howard County,Kent County,Montgomery County,Prince George's County,Queen Anne's County,Somerset County,St. Mary's County,Talbot County,Washington County,Wicomico County,Worcester County
2022 October 04,2010,Poverty Rate,9.9,17.1,6.6,24.7,8.2,6.2,13,5.4,10.5,6.2,16.2,5.6,15.1,6.9,5.2,14.2,7.5,9.4,7.3,19.3,7.5,9.7,11.4,16.6,10.6
2022 October 04,2010,MOE,0.3,3,1.1,1.8,1.2,1.4,2.8,1.1,2,1.4,3.2,1.2,3.1,1.4,1.1,3.1,0.8,1.2,1.7,5.5,1.9,2.2,2.1,2.8,2.7
2022 October 04,2011,Poverty Rate,10.2,19.1,6.5,24.5,9.6,6.1,13.1,5.5,9.7,7.7,17.5,6.6,12,8.3,6,13.9,6.7,9.4,8.7,26.2,8.6,10.8,11.8,17.7,13
2022 October 04,2011,MOE,0.3,3.4,1.2,1.7,1.2,1.5,2.7,1.2,2.2,1.5,3.3,1.2,2.9,1.2,1.1,3.4,0.8,1,1.7,6,1.8,2.2,1.7,2.6,2.6
2022 October 04,2012,Poverty Rate,10.4,18.1,6.3,24.5,9.7,7,15.7,6.3,11.9,8.6,18.4,6.8,14.5,7.9,5.3,14,6.6,10.3,8.2,29.6,8.4,9.7,13.7,16.7,11.1
2022 October 04,2012,MOE,0.3,2.8,1,1.7,1,1.3,2.7,1.1,1.9,1.3,2.9,1.1,2.6,1,1,3.1,0.8,0.9,1.6,6.2,1.7,2.1,1.9,2.6,2.4
2022 October 04,2013,Poverty Rate,10.2,18.6,7.3,22.7,9.5,6.9,16.7,6.8,9.8,8,17.7,6.9,15.9,7.4,5.3,14.9,7,9.9,8.4,28.5,8.2,10.9,12,16.5,13.1
2022 October 04,2013,MOE,0.3,3.3,1.1,1.6,1,1.4,2.8,1.2,2,1.5,3.3,1.2,2.9,1.2,1.1,3.2,0.9,1,1.8,5.7,1.8,2.2,2.1,2.8,2.5
2022 October 04,2014,Poverty Rate,10.4,18.5,6.7,23.3,9.8,7.2,16,5.9,10.6,7.2,17.5,6.5,12.4,8,6.1,13.8,7.2,10.3,7.5,25.5,8.6,11.7,13.8,16.9,11.9
2022 October 04,2014,MOE,0.3,2.7,1.1,1.8,1.1,1.4,3,1.2,2,1.5,3.6,1.2,3,1.2,1.1,3.3,0.9,1.2,1.9,6,1.8,2.2,2,2.7,2.4
2022 October 04,2015,Poverty Rate,9.9,20,6,22.7,9.1,5.9,14.4,6.2,10,7.1,18.1,7.4,13.6,7.8,5.2,14.8,7.5,9.5,7.2,25.8,8.7,10.4,12,14.7,11.3
2022 October 04,2015,MOE,0.3,3.1,1,2,1,1.4,3.1,1.1,2,1.5,3.4,1.1,2.9,1.2,1.1,3.1,0.9,1.1,1.6,5.7,1.8,2.1,2,2.7,2.4
2022 October 04,2016,Poverty Rate,9.7,17.2,7,21.8,9,5.8,15.3,5.5,10,7.4,17.4,6.9,12.8,7.2,5.2,14,6.9,9.2,7.3,24.3,9.1,10.4,13.2,18,11.4
2022 October 04,2016,MOE,0.2,3.2,1,1.7,0.9,1.2,2.8,1.2,1.8,1.5,3.3,0.9,2.6,1.1,1,3,0.8,0.9,1.5,5.6,1.6,2.2,1.9,2.3,2.3
2022 October 04,2017,Poverty Rate,9.4,17,6.1,22.1,8.3,6,13.8,5,9.7,7.5,15.7,6.7,11.8,7.1,5.9,12.8,7,8.6,7.7,24.7,8.5,9.1,13.3,15,9.9
2022 October 04,2017,MOE,0.3,3.1,1,1.9,1,1.3,2.7,1,1.9,1.4,3.5,1,2.7,1.2,0.9,2.8,0.8,1,1.6,5.6,1.7,2.3,2,2.9,2.1
2022 October 04,2018,Poverty Rate,9.1,16.7,7,18.9,9.9,5.4,13.2,6,8.3,6.6,15.4,6.2,12.2,7,5.2,12.9,6.9,8.3,6.5,23.4,8,9.2,11.1,14.6,10.4
2022 October 04,2018,MOE,0.3,2.8,1,2.1,1,1.3,2.8,1,2,1.4,3.1,1,2.8,1.1,1,3,0.8,1,1.7,5.7,1.6,2,1.9,2.6,2.3
2022 October 04,2019,Poverty Rate,9.1,16,5.8,20.4,8.9,5.7,12.1,5.1,10.3,6.4,16.4,5.7,12.8,6.7,5,12.4,7.3,8.7,6,23.6,7.7,8.7,12.3,16,9.9
2022 October 04,2019,MOE,0.2,2.9,1.2,2.1,1,1.3,2.6,1.1,1.8,1.5,3,1,2.8,1.2,1,3.1,0.8,1,1.5,5.4,1.8,2.1,1.9,2.4,2.2
2022 October 04,2020,Poverty Rate,9,14.7,5.2,20,8.9,5.3,12.4,5.2,8.8,7.4,14.9,6.2,12.8,6.2,5.5,12,6.7,9.5,6.9,22.2,7.3,9.6,12.3,14.2,11.7
2022 October 04,2020,MOE,0.3,3.4,1.3,2.1,1.3,1.4,2.7,1.2,2.1,1.6,3.3,1.2,2.8,1.3,1.1,3.1,1,1.3,1.5,6.2,1.8,2.2,2.1,2.4,2.1
